,name,kills,deaths,assists,goldEarned,goldSpent,win,kda
0,Old Man Jayce,6,8,5,17453,16850,False,1.4
1,Johnny Weëd,9,8,7,17587,17525,False,2.0
2,CapSony,14,11,2,16544,16750,False,1.5
3,3 KILOS DE INA,5,8,9,15699,15000,False,1.8
4,EDG Gordo Profe,3,8,12,9885,9425,False,1.9
5,Proyectoboris,1,8,16,10618,9375,True,2.1
6,AlitasPodriditas,14,7,16,19142,16300,True,4.3
7,Motion,3,7,22,13414,11650,True,3.6
8,the sansation,12,7,7,18346,17450,True,2.7
9,White sise,12,8,15,15720,12900,True,3.4
