,name,kills,deaths,assists,goldEarned,goldSpent,win,kda
0,IkeRator2020,1,1,1,7639,6875,True,2.0
1,DifffJG,3,3,5,6972,6485,True,2.7
2,Parzival4022,5,0,6,9426,6575,True,inf
3,DuendeEsclavo,16,1,6,12119,10000,True,22.0
4,Conimph,3,2,16,7341,6000,True,9.5
5,CGalvez9,1,4,1,6342,6000,False,0.5
6,THEBARRIOS,2,6,1,7129,6500,False,0.5
7,EL Demoño Hauche,1,5,1,5495,5300,False,0.4
8,Mirdok,1,5,3,5494,4650,False,0.8
9,CesWar,2,8,3,5295,4300,False,0.6
