,name,kills,deaths,assists,goldEarned,goldSpent,win,kda
0,Zef Side,9,10,9,15344,15860,True,1.8
1,SuperYopoxd,5,20,10,13356,12325,True,0.8
2,El Bladi,12,9,8,17329,15335,True,2.2
3, ak DreLz,27,13,12,27289,24575,True,3.0
4,Gourkaran007,6,8,31,13871,11750,True,4.6
5,TabarnaK,2,10,13,12508,11850,False,1.5
6,byNomar456,8,11,8,11640,10925,False,1.5
7,Gustiki,27,11,12,20318,26815,False,3.5
8,Pingüino Fachero,14,15,15,19803,20610,False,1.9
9,Ricardo Barras,9,12,22,16042,14475,False,2.6
