,name,kills,deaths,assists,goldEarned,goldSpent,win,kda
0,BI0K40S,5,9,37,14643,12900,True,4.7
1,LSL Mcisaias,14,9,30,15993,15850,True,4.9
2,nachili,30,13,22,18633,17050,True,4.0
3,God Bünny,5,11,36,13335,12050,True,3.7
4,URSOB4D,17,7,41,17134,16750,True,8.3
5,niño flatulento,9,14,25,13644,13100,False,2.4
6,Bongazo D Prens,5,17,40,14170,13725,False,2.6
7,SANCOSME,5,11,22,14013,11750,False,2.5
8,Yuyın,13,11,18,16413,14500,False,2.8
9,Rolfkaemper,17,18,11,15893,14800,False,1.6
