,name_player,id_player,championName,championId,kda,kills,deaths,assists,goldEarned,goldSpent,visionScore,win
33,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Ezreal,81,4.8,12,5,12,13819,13000,16,True
34,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Jhin,202,3.142857142857143,9,7,13,13116,12000,7,False
35,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Xayah,498,1.6,8,10,8,17085,16550,34,False
36,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Renekton,58,1.8333333333333333,3,6,8,11124,10450,18,False
37,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Akshan,166,1.4,6,5,1,10732,7800,10,False
38,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Graves,104,2.25,2,4,7,10511,10350,13,False
39,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,DrMundo,36,3.0,6,5,9,11545,9775,18,True
40,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Graves,104,3.0,20,11,13,20985,22740,27,False
41,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Gangplank,41,8.0,13,3,11,19104,17100,26,True
42,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Kayle,10,7.0,9,2,5,13124,12350,10,True
43,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Annie,1,1.1428571428571428,6,7,2,10492,10600,23,False
44,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Neeko,518,4.5,3,2,6,9618,7850,11,True
45,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Rengar,107,26.0,16,0,10,16939,14500,15,True
46,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Jhin,202,1.8,5,5,4,9610,9400,10,False
47,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Rammus,33,1.25,1,4,4,6151,5900,15,False
48,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Hecarim,120,3.6,14,5,4,12358,12050,27,False
49,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Riven,92,1.8333333333333333,3,6,8,9517,9400,13,False
50,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Janna,40,22.0,3,1,19,7871,5350,22,True
51,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Janna,40,3.6666666666666665,0,3,11,5763,5325,29,False
52,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Ornn,516,2.75,9,8,13,15283,14500,25,False
53,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Garen,86,2.8,6,5,8,11232,10900,12,False
54,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Akshan,166,2.0,8,5,2,10375,10250,14,False
55,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Sion,14,0.0,0,0,0,500,500,0,False
56,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,DrMundo,36,1.3333333333333333,2,6,6,10745,10700,11,False
57,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Milio,902,3.4285714285714284,2,7,22,10576,9525,45,False
58,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Olaf,2,2.1666666666666665,5,6,8,10387,11300,17,False
59,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Gwen,887,2.0,7,6,5,14971,14850,25,False
60,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Fiora,114,0.4,2,5,0,9109,8550,12,False
61,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,DrMundo,36,1.4,3,5,4,8035,10250,10,False
62,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Shen,98,3.25,3,4,10,10305,10480,17,False
63,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Akshan,166,9.333333333333334,18,3,10,19437,17500,25,True
64,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Senna,235,1.0,2,4,2,7219,7575,35,False
65,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Braum,201,2.0,1,6,11,6114,5725,28,False
66,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Milio,902,1.7142857142857142,3,7,9,7605,6785,44,False
67,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Blitzcrank,53,1.8333333333333333,1,6,10,7516,6500,32,True
68,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Blitzcrank,53,3.8333333333333335,3,6,20,10293,9700,54,True
69,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Thresh,412,4.5,1,4,17,9773,8900,76,True
70,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Thresh,412,9.0,2,1,7,5181,4875,11,True
71,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Thresh,412,4.25,0,4,17,7503,5750,37,True
72,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Milio,902,7.0,3,4,25,10509,8550,40,True
73,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Blitzcrank,53,2.375,1,8,18,9317,8825,58,True
74,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Malphite,54,3.3333333333333335,6,3,4,10006,9200,18,False
