,name,kills,deaths,assists,goldEarned,goldSpent,win,kda
0,7ckingMad,0,2,3,6769,6350,True,1.5
1,Barça,7,0,2,7533,7200,True,inf
2,Onyankopon,4,2,1,6075,5310,True,2.5
3,Łôrd Ôƒ Śµâdôwśº,4,1,4,7964,7850,True,8.0
4,Mielli,1,0,8,4934,4560,True,inf
5,xllBorquezzz,0,2,0,4322,3600,False,0.0
6,111 4u  2u,0,5,1,4823,5690,False,0.2
7,Cursed Bloodline,4,4,0,5666,5685,False,1.0
8,Neviden,1,2,0,5624,5425,False,0.5
9,Dirty Mudbloods,0,3,1,3594,3400,False,0.3
