,name,kills,deaths,assists,goldEarned,goldSpent,win,kda
0,nukeduck 23,5,1,4,15181,14075,True,9.0
1,BlueRunes01,24,3,7,18837,16425,True,10.3
2,La Escolaneta,12,3,9,15106,15150,True,7.0
3,OmiGamerHD,2,10,4,8285,7250,True,0.6
4,maƒa,2,3,11,8302,7650,True,4.3
5,wokee,4,5,6,10023,10075,False,2.0
6,LeonaRoadhes,4,12,2,9993,9575,False,0.5
7,ROGE1377,4,11,4,10017,8875,False,0.7
8,lJoSSl,4,8,8,9236,8900,False,1.5
9,Tweedle,4,9,6,9821,8875,False,1.1
