,name,kills,deaths,assists,goldEarned,goldSpent,win,kda
0,K SHiro,4,6,14,14233,12600,True,3.0
1,Yo soy ironman l,10,9,18,16060,14275,True,3.1
2,enniox,9,7,17,13453,11650,True,3.7
3,warmach1n32811,14,6,13,15761,14750,True,4.5
4,IkeRator2020,7,9,18,12767,10475,True,2.8
5,Cap Styles,4,7,5,12656,12150,False,1.3
6,paleontologia,3,10,13,11792,11750,False,1.6
7,Bananafacio,12,9,3,16201,14350,False,1.7
8,Miracles785,13,10,6,15905,16705,False,1.9
9,Zarina,5,8,12,11116,10950,False,2.1
