,name_player,id_player,championName,championId,kda,kills,deaths,assists,goldEarned,goldSpent,visionScore,win
31,IkeRator2020,0xgZDBHp9ZIPCD1cLrHnsrqmvPPK-U-jOwip7iBD9DAHAkY,Sion,14,3.7142857142857144,8,7,18,16285,14250,37,True
32,IkeRator2020,0xgZDBHp9ZIPCD1cLrHnsrqmvPPK-U-jOwip7iBD9DAHAkY,Kayle,10,3.0,5,5,10,12401,12175,19,False
33,IkeRator2020,0xgZDBHp9ZIPCD1cLrHnsrqmvPPK-U-jOwip7iBD9DAHAkY,Kayle,10,1.6363636363636365,10,11,8,16735,17210,36,False
34,IkeRator2020,0xgZDBHp9ZIPCD1cLrHnsrqmvPPK-U-jOwip7iBD9DAHAkY,Singed,27,2.5,5,6,10,9883,9925,29,False
35,IkeRator2020,0xgZDBHp9ZIPCD1cLrHnsrqmvPPK-U-jOwip7iBD9DAHAkY,Sion,14,0.8,1,5,3,6304,6200,21,False
36,IkeRator2020,0xgZDBHp9ZIPCD1cLrHnsrqmvPPK-U-jOwip7iBD9DAHAkY,Kayle,10,1.8,6,5,3,12326,10800,22,True
37,IkeRator2020,0xgZDBHp9ZIPCD1cLrHnsrqmvPPK-U-jOwip7iBD9DAHAkY,Sion,14,4.0,1,0,3,6972,6200,15,True
38,IkeRator2020,0xgZDBHp9ZIPCD1cLrHnsrqmvPPK-U-jOwip7iBD9DAHAkY,Nasus,75,0.8333333333333334,4,6,1,10568,10775,24,False
39,IkeRator2020,0xgZDBHp9ZIPCD1cLrHnsrqmvPPK-U-jOwip7iBD9DAHAkY,Vladimir,8,0.4,0,5,2,7430,7225,28,False
40,IkeRator2020,0xgZDBHp9ZIPCD1cLrHnsrqmvPPK-U-jOwip7iBD9DAHAkY,Sion,14,0.0,0,4,0,6704,6555,25,False
41,IkeRator2020,0xgZDBHp9ZIPCD1cLrHnsrqmvPPK-U-jOwip7iBD9DAHAkY,Sion,14,0.0,0,0,0,500,500,0,False
42,IkeRator2020,0xgZDBHp9ZIPCD1cLrHnsrqmvPPK-U-jOwip7iBD9DAHAkY,Sion,14,3.125,6,8,19,11705,11990,79,False
43,IkeRator2020,0xgZDBHp9ZIPCD1cLrHnsrqmvPPK-U-jOwip7iBD9DAHAkY,Sion,14,1.7142857142857142,1,7,11,8176,7050,20,True
44,IkeRator2020,0xgZDBHp9ZIPCD1cLrHnsrqmvPPK-U-jOwip7iBD9DAHAkY,Sion,14,2.6,2,5,11,5087,3475,19,True
45,IkeRator2020,0xgZDBHp9ZIPCD1cLrHnsrqmvPPK-U-jOwip7iBD9DAHAkY,Braum,201,2.75,1,8,21,11232,9625,99,False
46,IkeRator2020,0xgZDBHp9ZIPCD1cLrHnsrqmvPPK-U-jOwip7iBD9DAHAkY,Sion,14,3.0,1,2,5,8810,7875,22,True
47,IkeRator2020,0xgZDBHp9ZIPCD1cLrHnsrqmvPPK-U-jOwip7iBD9DAHAkY,Sion,14,5.25,6,4,15,12075,11025,28,True
48,IkeRator2020,0xgZDBHp9ZIPCD1cLrHnsrqmvPPK-U-jOwip7iBD9DAHAkY,Tristana,18,0.6363636363636364,3,11,4,11645,11030,27,False
49,IkeRator2020,0xgZDBHp9ZIPCD1cLrHnsrqmvPPK-U-jOwip7iBD9DAHAkY,Tristana,18,1.0,2,2,0,4348,3925,11,False
50,IkeRator2020,0xgZDBHp9ZIPCD1cLrHnsrqmvPPK-U-jOwip7iBD9DAHAkY,Seraphine,147,0.8888888888888888,4,9,4,7290,7175,67,False
51,IkeRator2020,0xgZDBHp9ZIPCD1cLrHnsrqmvPPK-U-jOwip7iBD9DAHAkY,Tristana,18,2.0,9,9,9,15054,13405,47,True
52,IkeRator2020,0xgZDBHp9ZIPCD1cLrHnsrqmvPPK-U-jOwip7iBD9DAHAkY,Braum,201,10.0,1,1,9,4373,3375,17,True
53,IkeRator2020,0xgZDBHp9ZIPCD1cLrHnsrqmvPPK-U-jOwip7iBD9DAHAkY,Sett,875,0.6666666666666666,0,6,4,4341,3750,32,False
54,IkeRator2020,0xgZDBHp9ZIPCD1cLrHnsrqmvPPK-U-jOwip7iBD9DAHAkY,Anivia,34,3.2,3,5,13,9178,7950,35,True
55,IkeRator2020,0xgZDBHp9ZIPCD1cLrHnsrqmvPPK-U-jOwip7iBD9DAHAkY,Anivia,34,0.25,0,8,2,5125,4625,22,False
56,IkeRator2020,0xgZDBHp9ZIPCD1cLrHnsrqmvPPK-U-jOwip7iBD9DAHAkY,Anivia,34,5.5,1,2,10,5558,3900,18,True
57,IkeRator2020,0xgZDBHp9ZIPCD1cLrHnsrqmvPPK-U-jOwip7iBD9DAHAkY,Sion,14,0.42857142857142855,1,7,2,8304,8645,26,False
58,IkeRator2020,0xgZDBHp9ZIPCD1cLrHnsrqmvPPK-U-jOwip7iBD9DAHAkY,Sion,14,2.857142857142857,8,7,12,14593,15500,41,True
59,IkeRator2020,0xgZDBHp9ZIPCD1cLrHnsrqmvPPK-U-jOwip7iBD9DAHAkY,Tristana,18,1.2222222222222223,4,9,7,13625,14380,35,False
60,IkeRator2020,0xgZDBHp9ZIPCD1cLrHnsrqmvPPK-U-jOwip7iBD9DAHAkY,Singed,27,0.7777777777777778,1,9,6,6653,6275,31,False
61,IkeRator2020,0xgZDBHp9ZIPCD1cLrHnsrqmvPPK-U-jOwip7iBD9DAHAkY,MasterYi,11,1.0,5,12,7,10540,10875,65,False
62,IkeRator2020,0xgZDBHp9ZIPCD1cLrHnsrqmvPPK-U-jOwip7iBD9DAHAkY,Tristana,18,2.0,7,7,7,13004,10650,28,True
