,name,kills,deaths,assists,goldEarned,goldSpent,win,kda
0,ObiTahm Kenchobi,11,7,6,14635,15090,False,2.4
1,Docatame,6,12,8,10254,11725,False,1.2
2,EKKO DE LUDEEEN,1,11,11,8178,7625,False,1.1
3,KriooReaady,10,12,9,12660,11343,False,1.6
4,HI IM BASTI ,2,9,10,7205,5875,False,1.3
5,Salfat3,11,10,8,11805,11835,True,1.9
6,King Kriz,17,6,16,15226,13625,True,5.5
7,JarritodePomaire,8,2,19,13423,12775,True,13.5
8,Xiss,7,6,17,13655,12850,True,4.0
9,Prisin,8,6,16,10717,9275,True,4.0
