,name,kills,deaths,assists,goldEarned,goldSpent,win,kda
0,zchute,15,8,4,17613,15875,True,2.4
1,Corte5,6,11,11,14861,13700,True,1.5
2,Extraspace150,3,9,11,11891,11775,True,1.6
3,Noozx,14,7,4,16902,15300,True,2.6
4,MR BUSH,2,7,18,10579,9325,True,2.9
5,KADA002,4,11,5,12217,11910,False,0.8
6,Nün,14,12,14,16091,15650,False,2.3
7,DefaultEpsilon,10,6,18,13624,12730,False,4.7
8,lJoSSl,12,4,8,16842,15983,False,5.0
9,nikeio,2,7,12,8727,7725,False,2.0
